datum,titel_kurz_d,br_pos,annahme
2012-03-11,Gesetz über die Buchpreisbindung,1,0
2012-06-17,Initiative «Eigene vier Wände dank Bausparen»,0,0
2012-06-17,Initiative «Staatsverträge vors Volk!»,0,0
2012-06-17,Gesetz über die Krankenversicherung (Managed Care),1,0
2012-09-23,Bundesbeschluss über die Jugendmusikförderung,1,1
2012-09-23,Initiative «Sicheres Wohnen im Alter»,0,0
2012-09-23,Initiative «Schutz vor Passivrauchen»,0,0
2012-11-25,Tierseuchengesetz,1,1
2013-03-03,Bundesbeschluss über die Familienpolitik,1,0
2013-03-03,Initiative «gegen die Abzockerei»,0,1
2013-03-03,Raumplanungsgesetz,1,1
2013-06-09,Initiative «Volkswahl des Bundesrates»,0,0
2013-06-09,Asylgesetz,1,1
2013-09-22,Initiative zur Aufhebung der Wehrpflicht,0,0
2013-09-22,Epidemiengesetz,1,1
2013-09-22,Arbeitsgesetz (Öffnungszeiten von Tankstellenshops),1,1
2013-11-24,Initiative «1:12 – Für gerechte Löhne»,0,0
2013-11-24,«Familieninitiative»,0,0
2013-11-24,Änderung des Nationalstrassenabgabegesetzes (Autobahnvignette),1,0
2014-02-09,Finanzierung und Ausbau der Eisenbahninfrastruktur (FABI),1,1
2014-02-09,Initiative «Abtreibungsfinanzierung ist Privatsache»,0,0
2014-02-09,Initiative «Gegen Masseneinwanderung»,0,1
2014-05-18,Bundesbeschluss über die medizinische Grundversorgung,1,1
2014-05-18,Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»,0,1
2014-05-18,«Mindestlohn-Initiative»,0,0
2014-05-18,Fonds zur Beschaffung des Kampfflugzeugs Gripen,1,0
2014-09-28,Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»,0,0
2014-09-28,Initiative «Für eine öffentliche Krankenkasse»,0,0
2014-11-30,Initiative zur Abschaffung der Pauschalbesteuerung,0,0
2014-11-30,Initiative «Stopp der Überbevölkerung – zur Sicherung der natürlichen Lebensgrundlagen»,0,0
2014-11-30,Gold-Initiative,0,0
2015-03-08,Initiative für steuerfreie Kinderzulagen,0,0
2015-03-08,Initiative «Energie- statt Mehrwertsteuer»,0,0
2015-06-14,Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,1,1
2015-06-14,Stipendieninitiative,0,0
2015-06-14,Initiative «Millionen-Erbschaften besteuern für unsere AHV»,0,0
2015-06-14,Radio- und Fernsehgesetz (Radio- und Fernsehabgabe),1,1
2016-02-28,Initiative «gegen die Heiratsstrafe»,0,0
2016-02-28,«Durchsetzungsinitiative»,0,0
2016-02-28,Initiative «Keine Spekulation mit Nahrungsmitteln!»,0,0
2016-02-28,Sanierung Gotthard-Strassentunnel,1,1
2016-06-05,Initiative «Pro Service public»,0,0
2016-06-05,Initiative «Für ein bedingungsloses Grundeinkommen»,0,0
2016-06-05,Initiative «Für eine faire Verkehrsfinanzierung»,0,0
2016-06-05,Fortpflanzungsmedizingesetz,1,1
2016-06-05,Asylgesetz,1,1
2016-09-25,Initiative «Grüne Wirtschaft»,0,0
2016-09-25,Initiative «AHVplus: für eine starke AHV»,0,0
2016-09-25,Nachrichtendienstgesetz,1,1
2016-11-27,Atomausstiegsinitiative,0,0
2017-02-12,Erleichterte Einbürgerung der dritten Ausländergeneration,1,1
2017-02-12,Fonds für die Nationalstrassen und den Agglomerationsverkehr (NAF),1,1
2017-02-12,Unternehmenssteuerreform III,1,0
2017-05-21,Energiegesetz,1,1
2017-09-24,Bundesbeschluss über die Ernährungssicherheit,1,1
2017-09-24,Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,1,0
2017-09-24,Reform der Altersvorsorge 2020,1,0
2018-03-04,Neue Finanzordnung 2021,1,1
2018-03-04,Initiative «Abschaffung der Billag-Gebühren»,0,0
2018-06-10,Vollgeld-Initiative,0,0
2018-06-10,Geldspielgesetz,1,1
2018-09-23,Bundesbeschluss über die Velowege sowie die Fuss- und Wanderwege,1,1
2018-09-23,Fair-Food-Initiative,0,0
2018-09-23,Initiative «Für Ernährungssouveränität»,0,0
2018-11-25,Hornkuh-Initiative,0,0
2018-11-25,Selbstbestimmungsinitiative,0,0
2018-11-25,Gesetzliche Grundlage für die Überwachung von Versicherten,1,1
2019-02-10,Zersiedelungsinitiative,0,0
2019-05-19,Steuerreform und AHV-Finanzierung (STAF),1,1
2019-05-19,Umsetzung der EU-Waffenrichtlinie,1,1
2020-02-09,Initiative «Mehr bezahlbare Wohnungen»,0,0
2020-02-09,Verbot der Diskriminierung aufgrund der sexuellen Orientierung,1,1
2020-09-27,Begrenzungsinitiative,0,0
2020-09-27,Jagdgesetz,1,0
2020-09-27,Erhöhung der steuerlichen Kinderabzüge,1,0
2020-09-27,Vaterschaftsurlaub,1,1
2020-09-27,Beschaffung neuer Kampfflugzeuge,1,1
2020-11-29,Konzernverantwortungsinitiative,0,0
2020-11-29,«Kriegsgeschäfte-Initiative»,0,0
2021-03-07,Initiative für ein Verhüllungsverbot,0,1
2021-03-07,Gesetz über elektronische Identifizierungsdienste,1,0
2021-03-07,Freihandelsabkommen mit Indonesien,1,1
2021-06-13,Trinkwasserinitiative,0,0
2021-06-13,Pestizidinitiative,0,0
2021-06-13,Covid-19-Gesetz,1,1
2021-06-13,CO2-Gesetz,1,0
2021-06-13,Gesetz über polizeiliche Massnahmen gegen Terrorismus,1,1
2021-09-26,«99%-Initiative»,0,0
2021-09-26,Ehe für alle,1,1
