datum,titel_kurz_d,br_pos,annahme
1953-12-06,Verfassungsartikel über den Schutz der Gewässer ,1,1
1954-06-20,Bundesbeschluss über Fähigkeitsausweise,1,0
1954-06-20,Hilfe an kriegsgeschädigte Auslandschweizer,1,0
1954-12-05,Initiative zum Schutz der Stromlandschaft Rheinau,0,0
1955-03-13,Mieter- und Konsumentenschutzinitiative,0,0
1956-05-13,Initiative zur Erweiterung der Volksrechte bei Wasserrechtskonzessionen,0,0
1956-05-13,Gewährung einer Hilfe an die Holzverzuckerungs-AG Graubünden,1,0
1958-01-26,Initiative «gegen den Missbrauch wirtschaftlicher Macht»,0,0
1958-10-26,Initiative «zur Einführung der 44-Stunden-Woche»,0,0
1958-12-07,Abkommen mit Italien zur Wasserkraft des Spöl,1,1
1960-12-04,Massnahmen für die Milchwirtschaft,1,1
1961-03-05,Treibstoffzoll zur Finanzierung der Nationalstrassen,1,0
1961-10-22,Volksinitiative zur Einführung der Gesetzesinitiative,0,0
1961-12-03,Uhrenstatut,1,1
1962-04-01,Initiative «für ein Verbot der Atomwaffen»,0,0
1962-05-27,Gesetz über die Taggelder des Nationalrates,1,0
1963-05-26,Initiative für ein Referendum gegen Atomwaffen,0,0
1964-05-24,Berufsbildungsgesetz,1,1
1965-05-16,Milchbeschluss,1,1
1966-10-16,Initiative «zur Bekämpfung des Alkoholismus»,0,0
1967-07-02,Initiative «gegen die Bodenspekulation»,0,0
1968-05-19,Gesetz über die Tabakbesteuerung,1,0
1969-06-01,Gesetz über die Eidgenössischen Technischen Hochschulen,1,0
1970-02-01,Bundesbeschluss über die inländische Zuckerwirtschaft,1,1
1970-06-07,Initiative «Gegen die Überfremdung»,0,0
1970-09-27,Initiative «Recht auf Wohnung und Ausbau des Familienschutzes»,0,0
1971-06-06,Umweltschutzartikel,1,1
1972-03-05,Initiative «zur Förderung des Wohnungsbaues»,0,0
1972-09-24,Initiative für ein Waffenausfuhrverbot,0,0
1972-12-03,Initiative zur Einführung einer Volkspension,0,0
1973-12-02,Tierschutzartikel ,1,1
1974-10-20,Initiative «Gegen die Überfremdung»,0,0
1974-12-08,Initiative «für eine soziale Krankenversicherung»,0,0
1975-03-02,Konjunkturartikel,1,0
1975-06-08,Bundesbeschluss über die Finanzierung der Nationalstrassen,1,1
1975-06-08,Änderung des Generalzolltarifs,1,0
1975-12-07,Verfassungsbestimmungen zur Wasserwirtschaft,1,1
1975-12-07,Gesetz über die Ein- und Ausfuhr von Landwirtschaftserzeugnissen,1,1
1976-03-21,Initiative «für die Mitbestimmung der Arbeitnehmer»,0,0
1976-03-21,Initiative «für eine Reform des Steuerwesens»,0,0
1976-06-13,Raumplanungsgesetz,1,0
1976-06-13,Darlehen an die Internationale Entwicklungsorganisation,1,0
1976-09-26,Initiative für eine Haftpflichtversicherung für Motorfahrzeuge und Fahrräder,0,0
1976-12-05,Initiative «für die Einführung der 40-Stunden-Woche»,0,0
1977-03-13,Vierte «Überfremdungsinitiative»,0,0
1977-03-13,Initiative «für eine Beschränkung der Einbürgerungen»,0,0
1977-03-13,Initiative zur Neuordnung des Staatsvertragsreferendums,0,0
1977-09-25,Mieterschutzinitiative,0,0
1977-09-25,Initiative «gegen die Luftverschmutzung durch Motorfahrzeuge»,0,0
1977-09-25,Erhöhung der Unterschriftenzahl für das Referendum,1,1
1977-09-25,Erhöhung der Unterschriftenzahl für die Verfassungsinitiative,1,1
