datum,titel_kurz_d,p_svp,annahme
1920-03-21 09:00:00,Initiative für ein Verbot der Spielbanken,66,1
1920-03-21 10:00:00,Gegenentwurf zur Initiative für ein Verbot der Spielbanken,66,0
1920-05-16 11:00:00,Beitritt zum Völkerbund,1,1
1920-10-31 12:00:00,Gesetz zur Arbeitszeit bei den Eisenbahnen,0,1
1921-01-30 13:00:00,Initiative für ein Staatsvertragsreferendum,1,1
1921-01-30 14:00:00,Initiative «für die Aufhebung der Militärjustiz»,0,0
1921-05-22 15:00:00,Artikel über den Automobil- und Fahrradverkehr,1,1
1921-05-22 16:00:00,Artikel über die Luftschiffahrt,1,1
1922-06-11 17:00:00,Initiative «betreffend die Erlangung des Schweizerbürgerrechts»,0,0
1922-06-11 18:00:00,Initiative «betreffend die Ausweisung von Ausländern»,1,0
1922-06-11 19:00:00,Initiative «betreffend die Wählbarkeit der Bundesbeamten in den Nationalrat»,0,0
1922-09-24 20:00:00,Strafrechtsrevision (innere Sicherheit und bedingter Strafvollzug),1,0
1922-12-03 21:00:00,Initiative für eine einmalige Vermögensabgabe,0,0
1923-02-18 22:00:00,Schutzhaft-Initiative,0,0
1923-02-18 23:00:00,Abkommen mit Frankreich betreffend Hochsavoyen,1,0
1923-04-15 00:00:00,Zollinitiative,0,0
1923-06-03 01:00:00,Bundesbeschluss zum Alkoholwesen,1,0
1924-02-17 02:00:00,Fabrikgesetz,1,0
1925-05-24 03:00:00,Initiative für eine AHV/IV,0,0
1925-10-25 04:00:00,Beschluss betreffend Aufenthalt und Niederlassung der Ausländer,1,1
1925-12-06 05:00:00,Bundesbeschluss betreffend eine AHV/IV,1,1
1926-12-05 06:00:00,Artikel zur Getreideversorgung,1,0
1927-05-15 07:00:00,Entschädigung an Kantone für Alpenstrassen,1,1
1927-05-15 08:00:00,Gesetz über den Automobil- und Fahrradverkehr,1,0
1928-05-20 09:00:00,Massnahmen gegen die Überfremdung,1,1
1928-12-02 10:00:00,Initiative für die Erhaltung der Kursäle,1,1
1929-03-03 11:00:00,Initiative zur Getreideversorgung,1,0
1929-03-03 13:00:00,Zolltarifgesetz,1,1
1929-05-12 14:00:00,Initiative «betreffend die Gesetzgebung über den Strassenverkehr»,0,0
1929-05-12 15:00:00,Initiative «für ein Branntweinverbot»,0,0
1930-04-06 16:00:00,Neuregelung des Alkoholwesens,1,1
1931-02-08 17:00:00,Ordensverbot,1,1
1931-03-15 18:00:00,Beschluss über die Mitgliederzahl des Nationalrates,1,1
1931-03-15 19:00:00,"Amtsdauer des Nationalrats, des Bundesrats und des Bundeskanzlers",1,1
1931-12-06 20:00:00,Gesetz über die AHV,0,0
1931-12-06 21:00:00,Gesetz über die Besteuerung des Tabaks,1,0
1933-05-28 22:00:00,Gesetz zur Herabsetzung der Löhne des Bundespersonals,1,0
1934-03-11 23:00:00,Gesetz über den Schutz der öffentlichen Ordnung,1,0
1935-02-24 00:00:00,Neuordnung der militärischen Ausbildung,1,1
1935-05-05 01:00:00,Verkehrsteilungsgesetz,0,0
1935-06-02 02:00:00,Initiative «zur Bekämpfung der Wirtschaftskrise»,0,0
1935-09-08 03:00:00,Initiative für eine Totalrevision der Bundesverfassung,0,0
1937-11-28 04:00:00,Initiative «für ein Verbot der Freimaurerei»,0,0
1938-02-20 05:00:00,Anerkennung des Rätoromanischen als Nationalsprache,1,1
1938-02-20 06:00:00,Initiative zur Beschränkung der Dringlichkeitsklausel,0,0
1938-02-20 07:00:00,Initiative «Private Rüstungsindustrie»,0,0
1938-02-20 08:00:00,Gegenentwurf zur Initiative «Private Rüstungsindustrie»,1,1
1938-07-03 09:00:00,Schweizerisches Strafgesetzbuch,1,1
1938-11-27 10:00:00,Übergangsordnung des Finanzhaushalts,1,1
1939-01-22 11:00:00,Initiative für eine Erweiterung der Verfassungsgerichtsbarkeit,0,0
1939-01-22 12:00:00,Beschluss betreffend eine Einschränkung der Dringlichkeitsklausel,1,1
1939-06-04 13:00:00,Bundesbeschluss zum Ausbau der Landesverteidigung und zur Bekämpfung der Arbeitslosigkeit,1,1
1939-12-03 14:00:00,Dienstverhältnis und Versicherung des Bundespersonals,1,0
1940-12-01 15:00:00,Einführung des obligatorischen militärischen Vorunterrichts,1,0
1941-03-09 16:00:00,Initiative «zur Neuordnung des Alkoholwesens»,0,0
1942-01-25 17:00:00,Initiative für die Wahl des Bundesrates durch das Volk,0,0
1942-05-03 18:00:00,Initiative «für die Reorganisation des Nationalrates»,0,0
1944-10-29 19:00:00,Gesetz über den unlauteren Wettbewerb,1,1
1945-01-21 20:00:00,Gesetz über die Bundesbahnen,1,1
1945-11-25 21:00:00,Gegenentwurf zur Volksinitiative «Für die Familie»,1,1
1946-02-10 22:00:00,Bundesbeschluss für eine Gütertransportordnung,66,0
1946-12-08 23:00:00,Initiative «Recht auf Arbeit»,0,0
1947-05-18 00:00:00,Initiative «Wirtschaftsreform und Rechte der Arbeit»,0,0
1947-07-06 01:00:00,Revision der Wirtschaftsartikel,1,1
1947-07-06 02:00:00,Gesetz über die AHV,1,1
1948-03-14 03:00:00,Ordnung der Zuckerwirtschaft,1,0
1949-05-22 04:00:00,Nationalbank-Artikel,1,0
1949-05-22 05:00:00,Gesetz zur Bekämpfung der Tuberkulose,66,0
1949-09-11 06:00:00,Initiative «für die Rückkehr zur direkten Demokratie»,0,1
1949-12-11 07:00:00,Gesetz über das Dienstverhältnis der Bundesbeamten,1,1
1950-01-29 08:00:00,Massnahmen zur Förderung der Wohnbautätigkeit,1,0
1950-06-04 09:00:00,Neuordnung des Finanzhaushalts,1,0
1950-10-01 10:00:00,Initiative zur «Verhinderung der Spekulation»,0,0
1950-12-03 11:00:00,Beschluss über die Mitgliederzahl des Nationalrates,1,1
1950-12-03 12:00:00,Finanzordnung 1951 bis 1954,1,1
1951-02-25 13:00:00,Autotransportordnung,1,0
1951-04-15 14:00:00,Freigeld-Initiative,0,0
1951-07-08 16:00:00,Initiative für einen Beitrag der öffentlichen Unternehmungen an die Kosten der Landesverteidigung,66,0
1952-03-02 17:00:00,Verlängerung der Bewilligungspflicht für Gasthöfe,1,0
1952-03-30 18:00:00,Landwirtschaftsgesetz,1,1
1952-04-20 19:00:00,Warenumsatzsteuer-Initiative,0,0
1952-05-18 20:00:00,Initiative «zur Rüstungsfinanzierung und zum Schutze der sozialen Errungenschaften»,0,0
1952-07-06 21:00:00,Bundesbeschluss über die Deckung der Rüstungsausgaben,1,0
